"group","codes"
"spine","0RG24JJ"
"spine","0RG24K0"
"spine","0RG24K1"
"spine","0RG24KJ"
"spine","0RG4070"
"spine","0RG4071"
"spine","0RG407J"
"spine","0RG40A0"
"spine","0RG40AJ"
"spine","0RG40J0"
"spine","0RG40J1"
"spine","0RG40JJ"
"spine","0RG40K0"
"spine","0RG40K1"
"spine","0RG40KJ"
"spine","0RG4370"
"spine","0RG4371"
"spine","0RG437J"
"spine","0RG43A0"
"spine","0RG43AJ"
"spine","0RG43J0"
"spine","0RG43J1"
"spine","0RG43JJ"
"spine","0RG43K0"
"spine","0RG43K1"
"spine","0RG43KJ"
"spine","0RG4470"
"spine","0RG4471"
"spine","0RG447J"
"spine","0RG44A0"
"spine","0RG44AJ"
"spine","0RG44J0"
"spine","0RG44J1"
"spine","0RG44JJ"
"spine","0RG44K0"
"spine","0RG44K1"
"spine","0RG44KJ"
"spine","0RG6070"
"spine","0RG6071"
"spine","0RG607J"
"spine","0RG60A0"
"spine","0RG60AJ"
"spine","0RG60J0"
"spine","0RG60J1"
"spine","0RG60JJ"
"spine","0RG60K0"
"spine","0RG60K1"
"spine","0RG60KJ"
"spine","0RG6370"
"spine","0RG6371"
"spine","0RG637J"
"spine","0RG63A0"
"spine","0RG63AJ"
"spine","0RG63J0"
"spine","0RG63J1"
"spine","0RG63JJ"
"spine","0RG63K0"
"spine","0RG63K1"
"spine","0RG63KJ"
"spine","0RG6470"
"spine","0RG6471"
"spine","0RG647J"
"spine","0RG64A0"
"spine","0RG64AJ"
"spine","0RG64J0"
"spine","0RG64J1"
"spine","0RG64JJ"
"spine","0RG64K0"
"spine","0RG64K1"
"spine","0RG64KJ"
"spine","0RG7070"
"spine","0RG7071"
"spine","0RG707J"
"spine","0RG70A0"
"spine","0RG70AJ"
"spine","0RG70J0"
"spine","0RG70J1"
"spine","0RG70JJ"
"spine","0RG70K0"
"spine","0RG70K1"
"spine","0RG70KJ"
"spine","0RG7370"
"spine","0RG7371"
"spine","0RG737J"
"spine","0RG73A0"
"spine","0RG73AJ"
"spine","0RG73J0"
"spine","0RG73J1"
"spine","0RG73JJ"
"spine","0RG73K0"
"spine","0RG73K1"
"spine","0RG73KJ"
"spine","0RG7470"
"spine","0RG7471"
"spine","0RG747J"
"spine","0RG74A0"
"spine","0RG74AJ"
"spine","0RG74J0"
"spine","0RG74J1"
"spine","0RG74JJ"
"spine","0RG74K0"
"spine","0RG74K1"
"spine","0RG74KJ"
"spine","0RG8070"
"spine","0RG8071"
"spine","0RG807J"
"spine","0RG80A0"
"spine","0RG80AJ"
"spine","0RG80J0"
"spine","0RG80J1"
"spine","0RG80JJ"
"spine","0RG80K0"
"spine","0RG80K1"
"spine","0RG80KJ"
"spine","0RG8370"
"spine","0RG8371"
"spine","0RG837J"
"spine","0RG83A0"
"spine","0RG83AJ"
"spine","0RG83J0"
"spine","0RG83J1"
"spine","0RG83JJ"
"spine","0RG83K0"
"spine","0RG83K1"
"spine","0RG83KJ"
"spine","0RG8470"
"spine","0RG8471"
"spine","0RG847J"
"spine","0RG84A0"
"spine","0RG84AJ"
"spine","0RG84J0"
"spine","0RG84J1"
"spine","0RG84JJ"
"spine","0RG84K0"
"spine","0RG84K1"
"spine","0RG84KJ"
"spine","0RGA070"
"spine","0RGA071"
"spine","0RGA07J"
"spine","0RGA0A0"
"spine","0RGA0AJ"
"spine","0RGA0J0"
"spine","0RGA0J1"
"spine","0RGA0JJ"
"spine","0RGA0K0"
"spine","0RGA0K1"
"spine","0RGA0KJ"
"spine","0RGA370"
"spine","0RGA371"
"spine","0RGA37J"
"spine","0RGA3A0"
"spine","0RGA3AJ"
"spine","0RGA3J0"
"spine","0RGA3J1"
"spine","0RGA3JJ"
"spine","0RGA3K0"
"spine","0RGA3K1"
"spine","0RGA3KJ"
"spine","0RGA470"
"spine","0RGA471"
"spine","0RGA47J"
"spine","0RGA4A0"
"spine","0RGA4AJ"
"spine","0RGA4J0"
"spine","0RGA4J1"
"spine","0RGA4JJ"
"spine","0RGA4K0"
"spine","0RGA4K1"
"spine","0RGA4KJ"
"spine","0SG0070"
"spine","0SG0071"
"spine","0SG007J"
"spine","0SG00A0"
"spine","0SG00AJ"
"spine","0SG00J0"
"spine","0SG00J1"
"spine","0SG00JJ"
"spine","0SG00K0"
"spine","0SG00K1"
"spine","0SG00KJ"
"spine","0SG0370"
"spine","0SG0371"
"spine","0SG037J"
"spine","0SG03A0"
"spine","0SG03AJ"
"spine","0SG03J0"
"spine","0SG03J1"
"spine","0SG03JJ"
"spine","0SG03K0"
"spine","0SG03K1"
"spine","0SG03KJ"
"spine","0SG0470"
"spine","0SG0471"
"spine","0SG047J"
"spine","0SG04A0"
"spine","0SG04AJ"
"spine","0SG04J0"
"spine","0SG04J1"
"spine","0SG04JJ"
"spine","0SG04K0"
"spine","0SG04K1"
"spine","0SG04KJ"
"spine","0SG1070"
"spine","0SG1071"
"spine","0SG107J"
"spine","0SG10A0"
"spine","0SG10AJ"
"spine","0SG10J0"
"spine","0SG10J1"
"spine","0SG10JJ"
"spine","0SG10K0"
"spine","0SG10K1"
"spine","0SG10KJ"
"spine","0SG1370"
"spine","0SG1371"
"spine","0SG137J"
"spine","0SG13A0"
"spine","0SG13AJ"
"spine","0SG13J0"
"spine","0SG13J1"
"spine","0SG13JJ"
"spine","0SG13K0"
"spine","0SG13K1"
"spine","0SG13KJ"
"spine","0SG1470"
"spine","0SG1471"
"spine","0SG147J"
"spine","0SG14A0"
"spine","0SG14AJ"
"spine","0SG14J0"
"spine","0SG14J1"
"spine","0SG14JJ"
"spine","0SG14K0"
"spine","0SG14K1"
"spine","0SG14KJ"
"spine","8100"
"spine","8101"
"spine","8102"
"spine","8103"
"spine","8104"
"spine","8105"
"spine","8106"
"spine","8107"
"spine","8108"
"spine","8130"
"spine","8131"
"spine","8132"
"spine","8133"
"spine","8134"
"spine","8135"
"spine","8136"
"spine","8137"
"spine","8138"
"spine","8139"
"spine","8162"
"spine","8163"
"spine","8164"
"spine","8165"
"spine","8166"
"spine","22548"
"spine","22551"
"spine","22552"
"spine","22554"
"spine","22556"
"spine","22558"
"spine","22585"
"spine","22586"
"spine","22590"
"spine","22595"
"spine","22600"
"spine","22610"
"spine","22612"
"spine","22614"
"spine","22630"
"spine","22632"
"spine","22633"
"spine","22634"
"spine","22800"
"spine","22802"
"spine","22804"
"spine","22808"
"spine","22810"
"spine","22812"
"thyroidectomy","0GTK0ZZ"
"thyroidectomy","0GTK4ZZ"
"thyroidectomy","064"
"thyroidectomy","60240"
"thyroidectomy","60252"
"thyroidectomy","60254"
"thyroidectomy","60260"
"thyroidectomy","60270"
"thyroidectomy","60271"
