"Number / Range","Full Description","Approach","WithDevice","DrugEluting","Brachytherapy"
"0271046","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027104Z","Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0271056","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027105Z","Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0271066","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027106Z","Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0271076","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027107Z","Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"02710D6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710DZ","Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710E6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710EZ","Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710F6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710FZ","Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710G6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710GZ","Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02710T6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,TRUE
"02710TZ","Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,TRUE
"02710Z6","Dilation of Coronary Artery, Two Arteries, Bifurcation, Open Approach","Open Approach",FALSE,FALSE,FALSE
"02710ZZ","Dilation of Coronary Artery, Two Arteries, Open Approach","Open Approach",FALSE,FALSE,FALSE
"0271346","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027134Z","Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0271356","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027135Z","Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0271366","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027136Z","Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0271376","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027137Z","Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"02713D6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713DZ","Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713E6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713EZ","Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713F6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713FZ","Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713G6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713GZ","Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02713T6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02713TZ","Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
