"Code","Full Description","Class","Approach"
"0B530ZZ","Destruction of Right Main Bronchus, Open Approach","lung","Open Approach"
"0B534ZZ","Destruction of Right Main Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B540ZZ","Destruction of Right Upper Lobe Bronchus, Open Approach","lung","Open Approach"
"0B544ZZ","Destruction of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B550ZZ","Destruction of Right Middle Lobe Bronchus, Open Approach","lung","Open Approach"
"0B554ZZ","Destruction of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B560ZZ","Destruction of Right Lower Lobe Bronchus, Open Approach","lung","Open Approach"
"0B564ZZ","Destruction of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B570ZZ","Destruction of Left Main Bronchus, Open Approach","lung","Open Approach"
"0B574ZZ","Destruction of Left Main Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B580ZZ","Destruction of Left Upper Lobe Bronchus, Open Approach","lung","Open Approach"
"0B584ZZ","Destruction of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B590ZZ","Destruction of Lingula Bronchus, Open Approach","lung","Open Approach"
"0B594ZZ","Destruction of Lingula Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5B0ZZ","Destruction of Left Lower Lobe Bronchus, Open Approach","lung","Open Approach"
"0B5B4ZZ","Destruction of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5C0Z3","Destruction of Right Upper Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5C0ZZ","Destruction of Right Upper Lung Lobe, Open Approach","lung","Open Approach"
"0B5C4Z3","Destruction of Right Upper Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5C4ZZ","Destruction of Right Upper Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5D0Z3","Destruction of Right Middle Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5D0ZZ","Destruction of Right Middle Lung Lobe, Open Approach","lung","Open Approach"
"0B5D4Z3","Destruction of Right Middle Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5D4ZZ","Destruction of Right Middle Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5F0Z3","Destruction of Right Lower Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5F0ZZ","Destruction of Right Lower Lung Lobe, Open Approach","lung","Open Approach"
"0B5F4Z3","Destruction of Right Lower Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5F4ZZ","Destruction of Right Lower Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5G0Z3","Destruction of Left Upper Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5G0ZZ","Destruction of Left Upper Lung Lobe, Open Approach","lung","Open Approach"
"0B5G4Z3","Destruction of Left Upper Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5G4ZZ","Destruction of Left Upper Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5H0Z3","Destruction of Lung Lingula using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5H0ZZ","Destruction of Lung Lingula, Open Approach","lung","Open Approach"
"0B5H4Z3","Destruction of Lung Lingula using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5H4ZZ","Destruction of Lung Lingula, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5J0Z3","Destruction of Left Lower Lung Lobe using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5J0ZZ","Destruction of Left Lower Lung Lobe, Open Approach","lung","Open Approach"
"0B5J4Z3","Destruction of Left Lower Lung Lobe using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5J4ZZ","Destruction of Left Lower Lung Lobe, Percutaneous Endoscopic Approach","lung","Percutaneous Endoscopic Approach"
"0B5K0Z3","Destruction of Right Lung using Laser Interstitial Thermal Therapy, Open Approach","lung","Open Approach"
"0B5K0ZZ","Destruction of Right Lung, Open Approach","lung","Open Approach"
